action,exp,level,members,cost
Plank,6,1,true,
Low wall,8,1,true,
Balancing rope,10,1,true,
Log balance,12,1,true,
Monkey bars,14,1,true,
Balancing ledge,16,1,true,
Pillar,18,1,true,
Rope swing,20,1,true,
Gnome Stronghold,86.5,1,true,
Draynor Village,120,10,true,
Floor spikes,22,20,true,
Hand holds,22,20,true,
Pressure pad,26,20,true,
Al Kharid,180,20,true,
Werewolf Skullball,750,25,true,
Varrock,238,30,true,
Penguin,540,30,true,
Agility Pyramid,1030,30,true,
Barbarian Outpost,153.3,35,true,
Spinning blades,28,40,true,
Darts,30,40,true,
Canifis,240,40,true,
Ape Atoll,580,48,true,
Falador,440,50,true,
Wilderness,571.4,52,true,
Seers' Village,570,60,true,
Werewolf,730,60,true,
Pollnivneach,890,70,true,
Dorgesh-Kaan,2750,70,true,
Prifddinas,1285.2,75,true,
Rellekka,780,80,true,
Ardougne,793,90,true,
