action,exp,level,members,cost
Plank,29,1,true,289
Crude wooden chair,58,1,true,622
Bolt of cloth,15,2,true,736
Soft clay,10,3,true,132
Wooden bookcase,115,4,true,1244
Iron bar,10,5,true,131
Limestone brick,20,5,true,126
Steel bar,20,7,true,362
Oak plank,60,15,true,438
Oak chair,120,19,true,876
Oak dining table,240,19,true,1752
Long bone,4500,30,true,0
Curved bone,6750,30,true,0
Oak larder,480,33,true,3504
Teak plank,90,35,true,822
Mahogany plank,140,40,true,2213
Mythical cape,370,47,true,2850
Mahogany table,840,52,true,13278
Teak garden bench,540,66,true,4932
Oak door,600,74,true,4380
