action,exp,level,members,cost
Potato,52.5,1,true,3
Marigolds,55.5,2,true,2
Barley,56.1,3,true,12
Hammerstone hops,59.5,4,true,8
Onion,62.9,5,true,3
Cabbage,69.2,7,true,3
Asgarnian hops,73.1,8,true,8
Guam leaf,52.5,9,true,3
Redberries,93.5,10,true,3
Rosemary,78.5,11,true,1
Tomato,87.1,12,true,3
Jute fibre,90.8,13,true,6
Marrentill,64,14,true,2
Oak tree,481.3,15,true,20
Yanillian hops,102.2,16,true,28
Tarromin,77.4,19,true,9
Sweetcorn,103.8,20,true,3
Krandorian hops,127.6,21,true,28
Cadava berries,148.5,22,true,2
Giant seaweed,171.1,23,true,375
Nasturtiums,130.5,24,true,1
Woad leaf,136,25,true,5
Harralander,105.2,26,true,75
Limpwurt root,141.5,26,true,29
Apple tree,1272.50,27,true,4
Wildblood hops,179,28,true,544
Goutweed,264.2,29,true,852544
Willow tree,1481.50,30,true,934
Strawberry,171.5,31,true,9
Ranarr weed,134.9,32,true,31715
Banana tree,1841.50,33,true,7
Teak tree,7325,35,true,35
Dwellberries,257,36,true,2
Grapes,1056.50,36,true,1940
Toadflax,172.8,38,true,1509
Orange tree,2586.70,39,true,2
Curry tree,3036.90,42,true,4
Irit leaf,220.3,44,true,33
Maple tree,3448.40,45,true,18258
Watermelon,370.4,47,true,63
Jangerberries,411,48,true,1
Avantoe,283.7,50,true,628
Pineapple plant,4791.70,51,true,145
Mushroom,407.7,53,true,49
Cactus spine,515.5,55,true,81
Mahogany tree,15783,55,true,857
Kwuarm,365.5,56,true,211
Papaya tree,6380.40,57,true,2121
White lily,292,58,true,2505
White berries,631.5,59,true,6
Yew tree,7150.90,60,true,53243
Snape grass,665.1,61,true,9201
Snapdragon,465.7,62,true,58786
Cave nightshade,603,63,true,108
Potato cactus,706,64,true,22
Hespori,12662,65,true,
Cadantine,574.3,67,true,358
Palm tree,10509.60,68,true,29583
Poison ivy berries,975,70,true,19
Calquat fruit,12516.50,72,true,89
Lantadyme,740.5,73,true,387
Crystal tree,13366,74,true,
Magic tree,13913.80,75,true,150574
Attas,100,76,true,
Iasor,100,76,true,
Kronos,100,76,true,
Dwarf weed,950.6,79,true,150
Dragonfruit tree,17895,81,true,157086
Spirit tree,19500.30,83,true,
Celastrus tree,14475,85,true,65058
Torstol,1131.40,85,true,62184
Redwood tree,22680,90,true,20513
