action,exp,level,members,cost
Headless arrow,15,1,true,60
Bronze arrow,19.5,1,true,120
Bronze javelin,15,3,true,540
Shortbow (stringing),5,5,true,111
Shortbow (u),5,5,true,42
Shortbow (full),10,5,true,149
Bronze bolts,5,9,true,180
Bronze crossbow (stringing),6,9,true,229
Wooden stock,6,9,true,42
Bronze crossbow (u),12,9,true,68
Bronze crossbow (full),24,9,true,288
Longbow (stringing),10,10,true,127
Longbow (u),10,10,true,42
Bronze dart,18,10,true,400
Longbow (full),20,10,true,149
Opal bolt tips,1.6,11,true,243
Opal bolts,16,11,true,350
Iron arrow,37.50,15,true,225
Iron javelin,30,17,true,465
Oak shortbow (stringing),16.5,20,true,128
Oak shortbow (u),16.50,20,true,44
Oak shortbow (full),33,20,true,151
Iron dart,38,22,true,310
Blurite bolts,10,24,true,30
Blurite crossbow (stringing),16,24,true,181
Oak stock,16,24,true,44
Blurite crossbow (u),32,24,true,5
Blurite crossbow (full),64,24,true,225
Oak longbow (stringing),25,25,true,135
Oak longbow (u),25,25,true,44
Oak longbow (full),50,25,true,151
Jade bolt tips,2.40,26,true,309
Jade bolts,24,26,true,70
Oak shield,50,27,true,88
Comp ogre bow (stringing),45,30,true,864
Unstrung comp bow,45,30,true,712
Steel arrow,75,30,true,390
Comp ogre bow (full),90,30,true,819
Kebbit bolts,6,32,true,1615
Steel javelin,75,32,true,990
Willow shortbow (stringing),33.30,35,true,151
Willow shortbow (u),33.3,35,true,19
Willow shortbow (full),66.6,35,true,126
Steel dart,75,37,true,540
Iron bolts,15,39,true,180
Iron crossbow (stringing),22,39,true,229
Willow stock,22,39,true,19
Iron crossbow (u),44,39,true,50
Iron crossbow (full),88,39,true,245
Willow longbow (stringing),41.5,40,true,168
Willow longbow (u),41.50,40,true,19
Willow longbow (full),83,40,true,126
Pearl bolt tips (24),3.20,41,true,625
Pearl bolt tips (6),3.2,41,true,62
Pearl bolts,32,41,true,460
Long kebbit bolts,7.90,42,true,3810
Willow shield,83,42,true,38
Silver bolts,25,43,true,110
Mithril arrow,112.5,45,true,645
Steel crossbow (stringing),27,46,true,271
Teak stock,27,46,true,145
Steel bolts,35,46,true,360
Steel crossbow (u),54,46,true,128
Steel crossbow (full),108,46,true,424
Incomplete light ballista,15,47,true,58372
