action,exp,level,members,cost
Polar kebbit,30,1,true,
Crimson swift,34,1,true,
Common kebbit,36,3,true,
Golden warbler,47,5,true,
Bird house,280,5,true,
Feldip weasel,48,7,true,
Copper longtail,61,9,true,
Cerulean twitch,64.6,11,true,
Desert devil,66,13,true,
Oak bird house,420,14,true,
Ruby harvest,24,15,true,
Baby impling (Puro-Puro),18,17,true,
Baby impling (Gielinor),20,17,true,
Tropical wagtail,95,19,true,
Young impling (Puro-Puro),20,22,true,
Young impling (Gielinor),22,22,true,
Wild kebbit,128,23,true,
Willow bird house,560,24,true,
Sapphire glacialis,34,25,true,
Ferret,115,27,true,
White rabbit,144,27,true,
Gourmet impling (Puro-Puro),22,28,true,
Gourmet impling (Gielinor),24,28,true,
Swamp lizard,152,29,true,
Spined larupia,180,31,true,
Barb-tailed kebbit,168,33,true,
Teak bird house,700,34,true,
Bluegill,16.5,35,true,
Snowy knight,44,35,true,
Earth impling (Puro-Puro),25,36,true,
Earth impling (Gielinor),27,36,true,
Prickly kebbit,204,37,true,
Horned graahk,240,41,true,
Essence impling (Puro-Puro),27,42,true,
Essence impling (Gielinor),29,42,true,
Spotted kebbit,104,43,true,
Maple bird house,820,44,true,
Black warlock,54,45,true,
Orange salamander,224,47,true,
Razor-backed kebbit,348,49,true,
Mahogany bird house,960,49,true,
Eclectic impling (Puro-Puro),32,50,true,
Eclectic impling (Gielinor),34,50,true,
Common tench,45,51,true,
Sabre-toothed kebbit,200,51,true,
Chinchompa,198,53,true,
Sabre-toothed kyatt,300,55,true,
Dark kebbit,132,57,true,
Nature impling (Puro-Puro),34,58,true,
Nature impling (Gielinor),36,58,true,
Red salamander,272,59,true,
Yew bird house,1020,59,true,
Maniacal monkey,1000,60,true,
Red chinchompa,265,63,true,
Magpie impling (Puro-Puro),44,65,true,
Magpie impling (Gielinor),216,65,true,
Black salamander,319.2,67,true,
Mottled eel,90,68,true,
Dashing kebbit,156,69,true,
Imp,450,71,true,
Black chinchompa,315,73,true,
Ninja impling (Puro-Puro),52,74,true,
Ninja impling (Gielinor),240,74,true,
Magic bird house,1140,74,true,
Crystal impling,280,80,true,
Dragon impling (Puro-Puro),65,83,true,
Dragon impling (Gielinor),300,83,true,
Greater siren,130,87,true,
Lucky impling (Puro-Puro),80,89,true,
Lucky impling (Gielinor),380,89,true,
Redwood bird house,1200,89,true,
