action,exp,level,members,cost
Clay,5,1,,
Rune essence,5,1,,
Copper ore,17.5,1,,
Tin ore,17.5,1,,
Blurite ore,17.5,10,,
Limestone,26.5,10,true,
Iron ore,35,15,,
Daeyalt ore,17,20,true,
Silver ore,40,20,,
Volcanic ash,10,22,true,
Pure essence,5,30,true,
Coal,50,30,,
Pay-dirt,60,30,true,
Sandstone (1kg),30,35,true,
Sandstone (2kg),40,35,true,
Sandstone (5kg),50,35,true,
Sandstone (10kg),60,35,true,
Dense essence block,12,38,true,
Gem rock,65,40,true,
Gold ore,65,40,,
Volcanic sulphur,25,42,true,
Granite (500g),50,45,true,
Granite (2kg),60,45,true,
Granite (5kg),75,45,true,
Mithril ore,80,55,,
Lovakite ore,10,65,true,
Soft clay,5,70,true,
Adamantite ore,95,70,,
Salt,5,72,true,
Runite ore,125,85,,
Amethyst,240,92,true,
