action,exp,level,members,cost
Air rune,5,1,,
Air tiara,25,1,,
Mind tiara,27.5,1,,
Water tiara,30,1,,
Earth tiara,32.5,1,,
Fire tiara,35,1,,
Body tiara,37.5,1,,
Cosmic tiara,40,1,true,
Chaos tiara,42.5,1,true,
Nature tiara,45,1,true,
Law tiara,47.5,1,true,
Death tiara,50,1,true,
Wrath tiara,52.5,1,true,
Mind rune,5.5,2,,
Water rune,6,5,,
Mist rune (Air altar),8,6,true,
Mist rune (Water altar),8.5,6,true,
Earth rune,6.50,9,,
Dust rune (Air altar),8.3,10,true,
Dust rune (Earth altar),9,10,true,
Mud rune (Water altar),9.30,13,true,
Mud rune (Earth altar),9.5,13,true,
Fire rune,7,14,,
Smoke rune (Air altar),8.50,15,true,
Smoke rune (Fire altar),10,15,true,
Steam rune (Water altar),9.3,19,true,
Steam rune (Fire altar),10.00,19,true,
Body rune,7.5,20,,
Lava rune (Earth altar),10.00,23,true,
Lava rune (Fire altar),10.50,23,true,
Cosmic rune,8,27,true,
Chaos rune,8.50,35,true,
Astral rune,8.7,40,true,
Nature rune,9,44,true,
Law rune,9.5,54,true,
Death rune,10.00,65,true,
Blood rune,23.8,77,true,
Soul rune,29.7,90,true,
Wrath rune,8,95,true,
