action,exp,level,members,cost
Crawling Hand,16,1,true,
Cave bug,5,1,true,
Cave crawler,22,1,true,
Banshee,22,1,true,
Twisted Banshee,100,1,true,
Cave slime,25,1,true,
Rockslug,27,1,true,
Desert Lizard,15,1,true,
Cockatrice,37,1,true,
Pyrefiend,45,1,true,
Mogre,48,1,true,
Harpie Bug Swarm,25,1,true,
Wall beast,105,1,true,
Killerwatt,51,1,true,
Molanisk,52,1,true,
Basilisk,75,1,true,
Terror dog,85,1,true,
Fever spider,40,1,true,
Sulphur Lizard,50,1,true,
Infernal Mage,60,1,true,
Brine rat,50,1,true,
Bloodveld,120,1,true,
Mutated Bloodveld,170,1,true,
Jelly,75,1,true,
Warped Jelly,140,1,true,
Turoth,76,1,true,
Mutated zygomite,65,1,true,
Cave horror,55,1,true,
Aberrant spectre,90,1,true,
Deviant spectre,194.5,1,true,
Basilisk Knight,300,1,true,
Wyrm,133.33,1,true,
Spiritual ranger,106,1,true,
Dust devil,105,1,true,
Fossil Island wyverns,205,1,true,
Spiritual warrior,98,1,true,
Kurask,97,1,true,
Skeletal Wyvern,210,1,true,
Gargoyle,105,1,true,
Brutal black dragon,315,1,true,
Nechryael,105,1,true,
Greater Nechryael,210,1,true,
Ancient Wyvern,300,1,true,
Spiritual mage,85,1,true,
Drake,268.5,1,true,
Abyssal demon,150,1,true,
Abyssal Sire,450,1,true,
Cave kraken,125,1,true,
Kraken,255,1,true,
Dark beast,220,1,true,
Cerberus,690,1,true,
Smoke devil,185,1,true,
Thermonuclear smoke devil,240,1,true,
Hydra,322.5,1,true,
Alchemical Hydra,1320,1,true,
