action,exp,members
Smelt bronze,6.2,
Smelt blurite,8,
Smelt iron,12.5,
Bronze dagger,12.5,
Bronze axe,12.5,
Bronze mace,12.5,
Bronze medium helm,12.5,
Bronze sword,12.5,
Smelt silver,13.6,
Smelt steel,17.5,
Smelt gold,22.5,
Bronze scimitar,25,
Bronze longsword,25,
Bronze full helm,25,
Bronze sq shield,25,
Iron dagger,25,
Iron axe,25,
Iron mace,25,
Iron medium helm,25,
Iron sword,25,
Smelt mithril,30,
Smelt adamantite,37.5,
Bronze warhammer,37.5,
Bronze battleaxe,37.5,
Bronze chainbody,37.5,
Bronze kiteshield,37.5,
Bronze two-handed sword,37.5,
Bronze platelegs,37.5,
Bronze plateskirt,37.5,
Steel dagger,37.5,
Steel axe,37.5,
Steel mace,37.5,
Steel medium helmet,37.5,
Steel sword,37.5,
Steel nails x15,37.5,
Smelt runite,50,
Iron scimitar,50,
Iron longsword,50,
Iron full helm,50,
Iron sq shield,50,
Mithril dagger,50,
Mithril axe,50,
Mithril mace,50,
Mithril medium helmet,50,
Mithril sword,50,
Bronze platebody,62.5,
Adamant dagger,62.5,
Adamant axe,62.5,
Adamant mace,62.5,
Adamant medium helmet,62.5,
Adamant sword,62.5,
Iron warhammer,75,
Iron battleaxe,75,
Iron chainbody,75,
Iron kiteshield,75,
Iron 2h sword,75,
Iron platelegs,75,
Iron plateskirt,75,
Steel scimitar,75,
Steel longsword,75,
Steel full helmet,75,
Steel square shield,75,
Rune dagger,75,
Rune axe,75,
Rune mace,75,
Rune medium helmet,75,
Rune sword,75,
Mithril scimitar,100,
Mithril longsword,100,
Mithril full helmet,100,
Mithril square shield,100,
Steel warhammer,112.5,
Steel battleaxe,112.5,
Steel chainbody,112.5,
Steel kiteshield,112.5,
Steel two-handed sword,112.5,
Steel platelegs,112.5,
Steel plateskirt,112.5,
Iron platebody,125,
Adamant scimitar,125,
Adamant longsword,125,
Adamant full helmet,125,
Adamant square shield,125,
Mithril warhammer,150,
Mithril battleaxe,150,
Mithril chainbody,150,
Mithril kiteshield,150,
Mithril two-handed sword,150,
Mithril platelegs,150,
Mithril plateskirt,150,
Rune scimitar,150,
Rune longsword,150,
Rune full helmet,150,
Rune square shield,150,
Steel platebody,187.5,
Adamant warhammer,187.5,
Adamant battleaxe,187.5,
Adamant chainbody,187.5,
Adamant kiteshield,187.5,
Adamant two-handed sword,187.5,
Adamant platelegs,187.5,
Adamant plateskirt,187.5,
Rune warhammer,225,
Rune battleaxe,225,
Rune chainbody,225,
Rune kiteshield,225,
Rune two-handed sword,225,
Rune platelegs,225,
Rune plateskirt,225,
Mithril platebody,250,
Adamant platebody,312.5,
Rune platebody,375,
