action,exp,level,members,cost
Man,8,1,true,
Winter sq'irkjuice,350,1,true,
Vegetable stall,10,2,true,
Bakery stall,16,5,true,
Crafting stall,16,5,true,
Monkey food stall,16,5,true,
Monkey general stall,16,5,true,
Tea stall,16,5,true,
Farmer,15,10,true,
10 coin chest,8,13,true,
Steal cowbells,16,15,true,
Female H.A.M. member,19,15,true,
Steal candles,20,20,true,
Male H.A.M. member,23,20,true,
Silk stall,24,20,true,
Wine stall,27,22,true,
Fruit Stall,28,25,true,
Spring sq'irkjuice,1350,25,true,
Seed stall,10,27,true,
Nature rune chest,25,28,true,
Rogue,36,32,true,
Fur stall,36,35,true,
Cave goblin,40,36,true,
Master Farmer,43,38,true,
Guard,47,40,true,
Fish stall,42,42,true,
50 coin chest,125,43,true,
Steal cave goblin wire,22,44,true,
Bearded Pollnivnian Bandit,65,45,true,
Fremennik Citizen,65,45,true,
Autumn sq'irkjuice,2350,45,true,
Steel arrowtips chest,150,47,true,
Crossbow stall,52,49,true,
Silver stall,54,50,true,
Crack wall safes,70,50,true,
Dorgesh-Kaan average chest,200,52,true,
Desert Bandit,80,53,true,
Pollnivian Bandit,84,55,true,
Knight of Ardougne,84,55,true,
Blood rune chest,250,59,true,
Stone chest,280,64,true,
Spice stall,81,65,true,
Magic stall,100,65,true,
Menaphite Thug,137.5,65,true,
Yanille Watchman,137.5,65,true,
Scimitar stall,160,65,true,
Summer sq'irkjuice,3000,65,true,
Paladin,151.7,70,true,
Ardougne Castle chest,500,72,true,
Gem stall,160,75,true,
Gnome,198.5,75,true,
Dorgesh-Kaan rich chest,650,78,true,
Hero,275,80,true,
Ore stall,180,82,true,
Vyre,306.9,82,true,
Rogues' Castle chest,100,84,true,
Elf,353,85,true,
TzHaar-Hur,103.4,90,true,
