action,level,members
Gnome Stronghold Agility Course,1,true
Low-level obstacles at the Brimhaven Agility Arena,1,true
Stile shortcut,1,true
Play Gnome Ball,1,true
Crumbling wall (Falador) shortcut,5,true
Broken raft (South of Lumbridge) shortcut,8,true
Draynor Village Rooftop Course,10,true
Rope swing (West Brimhaven) shortcut,10,true
Wall (North wall of Falador) shortcut,11,true
Stepping stones (Brimhaven Dungeon) shortcut,12,true
Jump Fence south of Varrock shortcut,13,true
Wall (Burthorpe) shortcut,14,true
Monkey bars (Edgeville Dungeon) shortcut,15,true
Agility Pyramid Course,20,true
Al Kharid Rooftop Course,20,true
Log balance (West of Seers' Village) shortcut,20,true
Medium level obstacles at the Brimhaven Agility Arena,20,true
Underwall tunnel (West side of the Grand Exchange) shortcut,21,true
Pipe squeeze (Brimhaven Dungeon) shortcut,22,true
Eagles' Peak shortcut,25,true
Play Werewolf Skullball,25,true
Underwall tunnel (Northeast of the Crafting Guild) shortcut,26,true
Obstacle pipe (Yanille Agility dungeon) shortcut,29,true
To Mount Karuulm lower cliffside climbing shortcut,29,true
Penguin Agility Course,30,true
Varrock Rooftop Course,30,true
Stepping stones (Brimhaven Dungeon) shortcut,30,true
Stepping stones (Near Draynor Manor) shortcut,31,true
Rock (East Catherby) shortcut (Requires grappling, 35 , and 35 ),32,true
Rock slide (East Cairn Isle) shortcut,32,true
Log balance (East Ardougne near the North bank) shortcut,33,true
Pipe squeeze (Brimhaven Dungeon) shortcut,34,true
Barbarian Outpost Agility Course,35,true
Rock (Taverley Dungeon) shortcut (Requires grappling, 22 , and 39 ),36,true
Rocks (Tree Gnome Stronghold) shortcut,37,true
Rocks (North end of Al Kharid mine) shortcut,38,true
Wall (Southwest wall of Yanille) shortcut,39,true
High level obstacles at the Brimhaven Agility Arena,40,true
Canifis Rooftop Course,40,true
Balancing ledge (Yanille Agility dungeon) shortcut,40,true
Hosidius lake isle jump.,40,true
Rocks (Easy cliffside scrambles in Trollheim) shortcut,41,true
Narrow crevice (Dwarven Mine) shortcut,42,true
Underwall tunnel (Draynor Village) shortcut,42,true
Rocks (Medium cliffside scrambles in Trollheim) shortcut,43,true
Rocks (Advanced cliffside scrambles in Trollheim) shortcut,44,true
Log balance (Tirannwn) shortcut,45,true
Hosidius river jump.,45,true
Narrow walkway (Zanaris) shortcut,46,true
Crevice (Deep Wilderness Dungeon) shortcut,46,true
Rocks (Hard cliffside scramble in Trollheim) shortcut,47,true
Ape Atoll Agility Course,48,true
Log balance (North of Camelot) shortcut,48,true
Falador Rooftop Course,50,true
Pipe squeeze (Varrock Sewers/Edgeville Dungeon) shortcut,51,true
The first floor of the Hallowed Sepulchre,52,true
Wilderness Agility Course,52,true
Rocks (East side of Arceuus essence mine),52,true
Rock (South of Volcano area on Karamja) shortcut,53,true
Wall (Motherlode Mine) shortcut,54,true
Stepping stone (Miscellania/Etceteria) shortcut,55,true
Monkey bars (Yanille Agility dungeon) shortcut,57,true
Weathered wall (Ectofuntus) shortcut,58,true
Rocks (Easy cliffside scramble in Arandar) shortcut,59,true
Werewolf Agility Course,60,true
Seers' Village Rooftop Course,60,true
Stepping stone (Mos Le'Harmless) shortcut,60,true
Pillars shortcut in Wintertodt's prison.,60,true
Spiked chain (Slayer Tower) shortcut,61,true
Narrow crevice (Slayer Dungeon) shortcut,62,true
The second floor of the Hallowed Sepulchre,62,true
To Mount Karuulm upper cliffside climbing shortcut,62,true
Loose railing (Taverley Dungeon) shortcut,63,true
Rocks (Level 20 Wilderness to Trollheim) shortcut,64,true
Rope (Fossil Island) shortcut,64,true
Loose railing (River Salve) shortcut,65,true
Easy (Revenant Caves) shortcut,65,true
Narrow walkway (Zanaris) shortcut,66,true
Stepping stones (Lumbridge Swamp to the Desert),66,true
Pile of rubble (Yanille Agility dungeon) shortcut,67,true
Crevice (Heroes' Guild) shortcut,67,true
Rocks (Medium cliffside scramble in Arandar) shortcut,68,true
Rocks (North side of Arceuus essence mine),69,true
Dorgesh-Kaan Agility Course,70,true
Pollnivneach Rooftop Course,70,true
Pipe squeeze (Taverley Dungeon) shortcut,70,true
Cave (Fossil Island) shortcut,70,true
Window (Al Kharid Palace) shortcut,70,true
Saradomin Encampment,70,true
Spiked chain (Slayer Tower) shortcut,71,true
Crumbling wall (Gu'Tanoth) shortcut,71,true
Narrow tunnel (Stronghold Slayer Cave) shortcut,72,true
The third floor of the Hallowed Sepulchre,72,true
Rocks (North of Troll Stronghold) shortcut,73,true
Rocks (West side of Arceuus essence mine),73,true
Jump (Lava Dragon Isle) shortcut,74,true
Medium (Revenant Caves) shortcut,75,true
Prifddinas Agility Course,75,true
Spiked Blades (Forthos Dungeonshortcut,75,true
Stepping stones (Zul-Andra) shortcut,76,true
Stepping stones (Shilo Village) shortcut,77,true
Northern Tight Gap (Iorwerth Dungeon) shortcut,78,true
Vine climb (Kharazi Jungle) shortcut,79,true
Rellekka Rooftop Course,80,true
Spiked blades (Taverley Dungeon) shortcut,80,true
Spiked blades (First shortcut in Fremennik Slayer Cave) shortcut,81,true
Jump (Lava Maze) shortcut,82,true
The fourth floor of the Hallowed Sepulchre,82,true
Eastern stepping stones (Brimhaven Dungeon) shortcut,83,true
Southern Tight Gap (Iorwerth Dungeon) shortcut,84,true
Rocks (Advanced cliffside scramble in Arandar) shortcut,85,true
