action,level,members
Cooked meat,1,
Shrimps,1,
Cooked chicken,1,
Anchovies,1,
Sardine,1,
Bread,1,
Herring,5,
Redberry pie,10,
Trout,15,
Pike,20,
Meat pie,20,
Salmon,25,
Stew,25,
Tuna,30,
Apple pie,30,
Cooks guild,32,
Jug of wine,35,
Plain pizza,35,
Lobster,40,
Cake,40,
Swordfish,45,
Meat pizza,45,
Cheese,48,
Chocolate cake,50,
Anchovy pizza,55,
Sinew,1,true
Cooked rabbit,1,true
Poison karambwan,1,true
Ugthanki meat,1,true
Mackerel,10,true
Roast bird meat,11,true
Thin snail,12,true
Spider on stick,16,true
Spider on shaft,16,true
Roast rabbit,16,true
Lean snail,17,true
Cod,18,true
Roast beast meat,21,true
Cooked crab meat,21,true
Fat snail,22,true
Slimy eel,28,true
Cooked karambwan,30,true
Cooked chompy,30,true
Cooked fishcake,31,true
Rainbow fish,35,true
Cave eel,38,true
Cooked jubbly,41,true
Bass,43,true
Lava eel,53,true
Monkfish,62,true
Sacred eel,72,true
Shark,80,true
Sea turtle,82,true
Anglerfish,84,true
Dark crab,90,true
Manta ray,91,true
Pitta bread,58,true
Curry,60,true
Pineapple pizza,65,true
Wine of zamorak,65,true
Cup of tea,20,true
Baked potato,7,true
Spicy sauce,9,true
Chilli con carne,11,true
Scrambled egg,13,true
Egg and tomato,23,true
Cooked sweetcorn,28,true
Potato with butter,39,true
Chilli potato,41,true
Fried onions,42,true
Fried mushrooms,46,true
Potato with cheese,47,true
Egg potato,51,true
Mushroom & onion,57,true
Mushroom potato,64,true
Tuna and corn,67,true
Tuna potato,68,true
Pot of cream,21,true
Pat of butter,38,true
Cheese,48,true
