action,level,members
Leather gloves,1,
Pot,1,
Ball of wool,1,
Gold ring,5,
Gold necklace,6,
Leather boots,7,
Pie dish,7,
Gold amulet,8,
Bowl,8,
Leather cowl,9,
Leather vambraces,11,
Leather body,14,
Unstrung symbol,16,
Leather chaps,18,
Cut sapphire,20,
Sapphire ring,20,
Sapphire necklace,22,
Tiara,23,
Sapphire amulet,24,
Cut emerald,27,
Emerald ring,27,
Hardleather body,28,
Emerald necklace,29,
Emerald amulet,31,
Cut ruby,34,
Ruby ring,34,
Crating guild,40,
Ruby necklace,40,
Cut diamond,43,
Diamond ring,43,
Ruby amulet,50,
Diamond necklace,56,
Diamond amulet,70,
Bow string,10,true
Crossbow string,10,true
Magic string,19,true
Rope,30,true
Strip of cloth,10,true
Empty sack,21,true
Drift net,26,true
Basket,36,true
Empty plant pot,19,true
Pot lid,25,true
Spiky vambraces [1],32,true
Coif,38,true
Hard leather shield,41,true
Studded body,41,true
Studded chaps,44,true
Green d'hide vambraces,57,true
Green d'hide chaps,60,true
Green d'hide shield,62,true
Green d'hide body,63,true
Blue d'hide vambraces,66,true
Blue d'hide chaps,68,true
Blue d'hide shield,69,true
Blue d'hide body,71,true
Red d'hide vambraces,73,true
Red d'hide chaps,75,true
Red d'hide shield,76,true
Red d'hide body,77,true
Black d'hide vambraces,79,true
Black d'hide chaps,82,true
Black d'hide shield,83,true
Black d'hide body,84,true
Broodoo shield,35,true
Snakeskin boots,45,true
Snakeskin vambraces,47,true
Snakeskin bandana,48,true
Snakeskin chaps,51,true
Snakeskin body,53,true
Snakeskin shield,56,true
Yak-hide armour (legs),43,true
Yak-hide armour (top),46,true
Blood'n'tar snelm (pointed),15,true
Blood'n'tar snelm (round),15,true
Broken bark snelm,15,true
Bruise blue snelm (pointed),15,true
Bruise blue snelm (round),15,true
Myre snelm (pointed),15,true
Myre snelm (round),15,true
Ochre snelm (pointed),15,true
Ochre snelm (round),15,true
Crab helmet,15,true
Crab claw,15,true
Xerician hat,14,true
Xerician robe,17,true
Xerician top,22,true
Beer glass,1,true
Empty candle lantern,4,true
Empty oil lamp,12,true
Oil lantern,26,true
Vial,33,true
Fishbowl,42,true
Unpowered orb,46,true
Lantern lens,49,true
Empty light orb,87,true
Light orb,87,true
Opal,1,true
Jade,13,true
Red topaz,16,true
Dragonstone,55,true
Onyx,67,true
Zenyte,89,true
Opal ring,1,true
Opal necklace,16,true
Opal bracelet,22,true
Opal amulet (u),27,true
Jade ring,13,true
Jade necklace,25,true
Jade bracelet,29,true
Jade amulet (u),34,true
Topaz ring,16,true
Topaz necklace,32,true
Topaz bracelet,38,true
Topaz amulet (u),45,true
Gold bracelet,7,true
Sapphire bracelet,23,true
Emerald bracelet,30,true
Ruby bracelet,42,true
Diamond bracelet,58,true
Dragonstone ring,55,true
Dragon necklace,72,true
Dragonstone bracelet,74,true
Dragonstone amulet (u),80,true
Slayer ring[1],75,true
Onyx ring,67,true
Onyx necklace,82,true
Onyx bracelet,84,true
Onyx amulet (u),90,true
Zenyte ring,89,true
Zenyte necklace,92,true
Zenyte bracelet,95,true
Zenyte amulet (u),98,true
Silver sickle,18,true
Silver bolts (unf),21,true
Water battlestaff,54,true
Earth battlestaff,58,true
Fire battlestaff,62,true
Air battlestaff,66,true
Unstrung emblem,17,true
Bird house,5,true
Oak bird house,15,true
Willow bird house,25,true
Teak bird house,35,true
Maple bird house,45,true
Mahogany bird house,50,true
Yew bird house,60,true
Magic bird house,75,true
Redwood bird house,90,true
