action,level,members
Potato,1,true
Onion,5,true
Cabbage,7,true
Tomato,12,true
Sweetcorn,20,true
Strawberry,31,true
Watermelon,47,true
Snape grass,61,true
Guam leaf,9,true
Marrentill,14,true
Tarromin,19,true
Harralander,26,true
Gout tuber,29,true
Ranarr seed,32,true
Toadflax,38,true
Irit leaf,44,true
Avantoe,50,true
Kwuarm,56,true
Snapdragon,62,true
Cadantine,67,true
Lantadyme,73,true
Dwarf weed,79,true
Torstol,85,true
Barley,3,true
Hammerstone,4,true
Asgarnian,8,true
Jute,13,true
Yanillian,16,true
Krandorian,21,true
Wildblood,28,true
Redberry,10,true
Cadavaberry,22,true
Dwellberry,36,true
Jangerberry,48,true
Whiteberry,59,true
Poison ivy berry,70,true
Acorn tree,15,true
Willow tree,30,true
Maple tree,45,true
Yew tree,60,true
Magic tree,75,true
Apple,27,true
Banana,33,true
Orange,39,true
Curry,42,true
Pineapple,51,true
Papaya,57,true
Palm tree,68,true
Dragonfruit,81,true
Spirit tree,83,true
Marigold,2,true
Rosemary,11,true
Nasturtium,24,true
Woad,25,true
Limpwurt,26,true
White lily,58,true
