action,level,members
Shrimp,1,
Sardine,5,
Herring,10,
Anchovies,15,
Trout,20,
Pike,25,
Salmon,30,
Tuna,35,
Lobster,40,
Swordfish,50,
Karambwanji,5,true
Mackerel,16,true
Cod,23,true
Slimy eel,28,true
33,75,true
Rainbow fish,38,true
Cave eel,38,true
Bluegill,43,true
Bass,46,true
Leaping trout,48,true
Lava eel,53,true
Common tench,56,true
Leaping salmon,58,true
Monkfish,62,true
Karambwan,65,true
Leaping sturgeon,70,true
Mottled eel,73,true
Shark,76,true
Sea turtle,79,true
Infernal eel,80,true
Manta ray,81,true
82,26.1,true
Anglerfish,82,true
Dark crab,85,true
Sacred eel,87,true
Greater siren,91,true
