action,level,members
Wood shortbow,5,true
Wood longbow,10,true
Oak shortbow,20,true
Oak longbow,25,true
Comp ogrebow,30,true
Willow shortbow,35,true
Willow longbow,40,true
Maple shortbow,50,true
Maple longbow,55,true
Yew shortbow,65,true
Yew longbow,70,true
Magic shortbow,80,true
Magic longbow,85,true
Wooden crossbow,9,true
Oak crossbow,24,true
Willow crossbow,39,true
Teak crossbow,46,true
Maple crossbow,54,true
Mahogany crossbow,61,true
Yew crossbow,69,true
Magic crossbow,78,true
Light ballistae,47,true
Heavy ballistae,72,true
Battlestaff,40,true
Oak shield,27,true
Willow shield,42,true
Maple shield,57,true
Yew shield,72,true
Magic shield,87,true
Redwood shield,92,true
Headless arrow,1,true
Bronze arrow,1,true
Iron arrow,15,true
Steel arrow,30,true
Mithril arrow,45,true
Broad arrow,52,true
Adamant arrow,60,true
Rune arrow,75,true
Amethyst arrow,82,true
Dragon arrow,90,true
