action,level,members
Crimson swifts,1,true
Guanic bats,1,true
Polar kebbits,1,true
Polar camouflage gear,1,true
Woodland camouflage gear,1,true
Common kebbits,3,true
Jungle camouflage gear,4,true
Golden warblers,5,true
Bird houses,5,true
Feldip weasels,7,true
Copper longtails,9,true
Desert camouflage gear,10,true
Cerulean twitches,11,true
Desert devils,13,true
Oak bird houses,14,true
Prael bats,15,true
Ruby harvests,15,true
Sandworms,15,true
Butterfly jars,15,true
Butterfly nets,15,true
Baby implings,17,true
Tropical wagtails,19,true
2 traps at a time,20,true
Young implings,22,true
Wild kebbits,23,true
Willow bird houses,24,true
Strung rabbit feet,24,true
Sapphire glacialis,25,true
Access to the Eagle transport system,27,true
Baby implings (barehanded),27,true
Ferrets,27,true
White rabbits,27,true
Box traps,27,true
Rabbit snares,27,true
Gourmet implings,28,true
Larupia hunter gear,28,true
Swamp lizards,29,true
Giral bats,30,true
Spined larupias,31,true
Teasing sticks,31,true
Young implings (barehanded),32,true
Barb-tailed kebbits,33,true
Teak bird houses,34,true
Bluegills,35,true
Snowy knights,35,true
Earth implings,36,true
Prickly kebbits,37,true
Gourmet implings (barehanded),38,true
Graahk hunter gear,38,true
Scent masking,39,true
3 traps at a time,40,true
Spotted capes,40,true
Horned graahks,41,true
Essence implings,42,true
Spotted kebbits,43,true
Fish shoals,44,true
Maple bird houses (with BoneVoyage completed),44,true
Black warlocks,45,true
Phluxia bats,45,true
Earth implings (barehanded),46,true
Orange salamanders,47,true
Razor-backed kebbits,49,true
Mahogany bird houses,49,true
Eclectic implings,50,true
Common tenches,51,true
Sabre-toothed kebbits,51,true
Essence implings (barehanded),52,true
Kyatt huntergear,52,true
Chinchompas,53,true
Gloves of silence,54,true
Sabre-toothed kyatts,55,true
Dark kebbits,57,true
Nature implings,58,true
Red salamanders,59,true
Yew bird houses,59,true
Eclectic implings (barehanded),60,true
Kryket bats,60,true
Maniacal monkies,60,true
4 traps at a time,60,true
Carnivorous chinchompas,63,true
Magpie implings,65,true
Spottier capes,66,true
Black salamanders,67,true
Mottled eels,68,true
Nature implings (barehanded),68,true
Dashing kebbits,69,true
Imps,71,true
Magic boxes,71,true
Black chinchompas,73,true
Ninja implings,74,true
Magic bird houses,74,true
Magpie implings (barehanded),75,true
Murng bats,75,true
Crystal implings,80,true
5 traps at a time,80,true
Herbiboars,80,true
Dragon implings,83,true
Ninja implings (barehanded),84,true
Greater sirens,87,true
Lucky implings,89,true
Redwood bird houses,89,true
Crystal implings (barehanded),90,true
Psykk bats,90,true
Dragon implings (barehanded),93,true
Raid bats (barehanded),99,true
Lucky implings (barehanded),99,true
