action,level,members
Bronze pickaxe,1,
Clay,1,
Copper,1,
Iron pickaxe,1,
Rune essence,1,
Tin,1,
Steel pickaxe,6,
Blurite,10,
Black pickaxe,11,
Iron,15,
Silver,20,
Mithril pickaxe,21,
Coal,30,
Adamant pickaxe,31,
Gold,40,
Rune pickaxe,41,
Mithril,55,
Mining guild,60,
Adamantite,70,
Runite,85,
Dragon pickaxe,61,true
3rd age pickaxe,61,true
Infernal pickaxe,61,true
Crystal pickaxe,71,true
Elemental rock,1,true
Limestone,10,true
Elemental,20,true
Daeyalt,20,true
Volcanic ash,22,true
Pure essence,30,true
Pay-dirt,30,true
Sandstone,35,true
Dense essence block,38,true
Gem rock,40,true
Volcanic sulphur,42,true
Granite,45,true
Lunar,60,true
Daeyalt shard,60,true
Lovakite,65,true
Soft clay,70,true
Salts,72,true
Amethyst,92,true
