action,level,members
Enchanted gem,1,true
Expeditious bracelet,1,true
Bracelet of slaughter,1,true
Black mask,1,true
Slayer helmet,1,true
Facemask,10,true
Earmuffs,15,true
Bag of salt,20,true
Ice cooler,22,true
Mirror shield,25,true
Fishing explosive,32,true
Unlit bug lantern,33,true
Spiny helmet,35,true
Witchwood icon,35,true
Insulated boots,37,true
Slayer bell,39,true
Slayer gloves,42,true
Boots of stone,44,true
Leaf-bladed spear,55,true
Leaf-bladed sword,55,true
Leaf-bladed battleaxe,55,true
Broad arrows,55,true
Broad bolts,55,true
Broad arrowheads,55,true
Unfinished broad bolts,55,true
Broad arrowhead pack,55,true
Unfinished broad bolt pack,55,true
Slayer's staff,55,true
Fungicide spray,57,true
Fungicide,57,true
Nose peg,60,true
Rock hammer,75,true
Rock thrownhammer,75,true
Crawling Hand,5,true
Cave bug,7,true
Cave crawler,10,true
Banshee,15,true
Twisted Banshee,15,true
Cave slime,17,true
Rockslug,20,true
Desert Lizard,22,true
Cockatrice,25,true
Pyrefiend,30,true
Mogre,32,true
Harpie Bug Swarm,33,true
Wall beast,35,true
Killerwatt,37,true
Molanisk,39,true
Basilisk,40,true
Terror dog,40,true
Fever spider,42,true
Sulphur Lizard,44,true
Infernal Mage,45,true
Brine rat,47,true
Bloodveld,50,true
Mutated Bloodveld,50,true
Jelly,52,true
Warped Jelly,52,true
Turoth,55,true
Mutated zygomite,57,true
Cave horror,58,true
Aberrant spectre,60,true
Deviant spectre,60,true
Basilisk Knight,60,true
Wyrm,62,true
Spiritual ranger,63,true
Dust devil,65,true
Fossil Island wyverns,66,true
Spiritual warrior,68,true
Kurask,70,true
Skeletal Wyvern,72,true
Gargoyle,75,true
Brutal black dragon,77,true
Nechryael,80,true
Greater Nechryael,80,true
Ancient Wyvern,82,true
Spiritual mage,83,true
Drake,84,true
Abyssal demon,85,true
Abyssal Sire,85,true
Cave kraken,87,true
Kraken,87,true
Dark beast,90,true
Cerberus,91,true
Smoke devil,93,true
Thermonuclear smoke devil,93,true
Hydra,95,true
Alchemical Hydra,95,true
