action,level,members
Bronze,1,
Bronze Dagger,1,
Bronze Axe,1,
Bronze Mace,2,
Bronze Medium helm,3,
Bronze Sword,4,
Bronze Scimitar,5,
Bronze Longsword,6,
Bronze Full helm,7,
Blurite,8,
Bronze Sq shield,8,
Bronze Warhammer,9,
Bronze Battleaxe,10,
Bronze Chainbody,11,
Bronze Kiteshield,12,
Bronze Two-handed sword,14,
Iron,15,
Iron Dagger,15,
Bronze Platelegs,16,
Bronze Plateskirt,16,
Iron Axe,16,
Iron Mace,17,
Bronze Platebody,18,
Iron Medium helm,18,
Iron Sword,19,
Silver,20,
Iron Scimitar,20,
Iron Longsword,21,
Iron Full helm,22,
Iron Sq shield,23,
Iron Warhammer,24,
Iron Battleaxe,25,
Iron Chainbody,26,
Iron Kiteshield,27,
Iron 2h sword,29,
Steel,30,
Steel Dagger,30,
Iron Platelegs,31,
Iron Plateskirt,31,
Steel Axe,31,
Steel Mace,32,
Iron Platebody,33,
Steel Medium helmet,33,
Steel Sword,34,
Steel Nails x15,34,
Steel Scimitar,35,
Steel Longsword,36,
Steel Full helmet,37,
Steel Square shield,38,
Steel Warhammer,39,
Gold,40,
Steel Battleaxe,40,
Steel Chainbody,41,
Steel Kiteshield,42,
Steel Two-handed sword,44,
Steel Platelegs,46,
Steel Plateskirt,46,
Steel Platebody,48,
Mithril,50,
Mithril Dagger,50,
Mithril Axe,51,
Mithril Mace,52,
Mithril Medium helmet,53,
Mithril Sword,54,
Mithril Scimitar,55,
Mithril Longsword,56,
Mithril Full helmet,57,
Mithril Square shield,58,
Mithril Warhammer,59,
Mithril Battleaxe,60,
Mithril Chainbody,61,
Mithril Kiteshield,62,
Mithril Two-handed sword,64,
Mithril Platelegs,66,
Mithril Plateskirt,66,
Mithril Platebody,68,
Adamantite,70,
Adamant Dagger,70,
Adamant Axe,71,
Adamant Mace,72,
Adamant Medium helmet,73,
Adamant Sword,74,
Adamant Scimitar,75,
Adamant Longsword,76,
Adamant Full helmet,77,
Adamant Square shield,78,
Adamant Warhammer,79,
Adamant Battleaxe,80,
Adamant Chainbody,81,
Adamant Kiteshield,82,
Adamant Two-handed sword,84,
Runite,85,
Rune Dagger,85,
Adamant Platelegs,86,
Adamant Plateskirt,86,
Rune Axe,86,
Rune Mace,87,
Adamant Platebody,88,
Rune Medium helmet,88,
Rune Sword,89,
Rune Scimitar,90,
Rune Longsword,91,
Rune Full helmet,92,
Rune Square shield,93,
Rune Warhammer,94,
Rune Battleaxe,95,
Rune Chainbody,96,
Rune Kiteshield,97,
Rune Two-handed sword,99,
Rune Platelegs,99,
Rune Plateskirt,99,
Rune Platebody,99,
