action,level,members
Pickpocket Man/Woman,1,true
Pickpocket Farmer,10,true
Pickpocket Female H.A.M. member,15,true
Pickpocket Male H.A.M. member,20,true
Pickpocket Warrior woman/Al-Kharid warrior,25,true
Pickpocket Rogue,32,true
Pickpocket Cave goblin,36,true
Pickpocket Master Farmer,38,true
Pickpocket Guard,40,true
Pickpocket Fremennik Citizen,45,true
Pickpocket Bearded Pollnivnian Bandit,45,true
Pickpocket Desert Bandit,53,true
Pickpocket Knight of Ardougne,55,true
Pickpocket Pollnivian Bandit,55,true
Pickpocket Yanille Watchman,65,true
Pickpocket Menaphite Thug,65,true
Pickpocket Paladin,70,true
Pickpocket Gnome,75,true
Pickpocket Hero,80,true
Pickpocket Vyre,82,true
Pickpocket Elf,85,true
Pickpocket TzHaar-Hur,90,true
Vegetable stall,2,true
Bakery stall,5,true
Crafting stall,5,true
Monkey food stall,5,true
Monkey general stall,5,true
Tea stall,5,true
Silk stall,20,true
Wine stall,22,true
Fruit Stall,25,true
Seed stall,27,true
Fur stall,35,true
Fish stall,42,true
Crossbow stall,49,true
Silver stall,50,true
Spice stall,65,true
Magic stall,65,true
Scimitar stall,65,true
Gem stall,75,true
Ore stall,82,true
10 coin chest,13,true
Nature rune chest,28,true
50 coin chest,43,true
Steel arrowtips chest,47,true
Dorgesh-Kaan average chest,52,true
Blood runes chest,59,true
Stone chest,64,true
Ardougne Castle chest,72,true
Dorgesh-Kaan rich chest,78,true
Rogues' Castle chest,84,true
