action,level,members
Bronze axe,1,
Iron axe,1,
Steel axe,6,
Black axe,11,
Oak,15,
Mithril axe,21,
Willow,30,
Adamant axe,31,
Rune axe,41,
Gilded axe,41,
Maple tree,45,
Yew,60,
Light Jungle,10,true
Medium Jungle,20,true
Teak,35,true
Dense Jungle,35,true
Mature juniper tree,42,true
Hollow tree,45,true
Mahogany,50,true
Arctic pine tree,54,true
Blisterwood Tree,62,true
Sulliuscep,65,true
Magic tree,75,true
Redwood tree,90,true
Blessed axe,35,true
Dragon axe,61,true
3rd age axe,61,true
Infernal axe,61,true
Crystal axe,71,true
